face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
rear,PSU pull handles,2,1,2,one diagonal/loop handle per PSU,large,over each fan,39 mm maximum rear projection,black/clear-gray depending photo lighting,Dell Figure 5 and exact photos,verified,34,PASS_EXACT,PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03|drive pull handle 04|drive pull handle 05,PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03|drive pull handle 04|drive pull handle 05,qa/rotation-review-20260827/matched-camera/three-standard/rear/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,side shell,1,1,1,rear to front,684 mm body depth,full body side,closed opaque sheet shell,galvanized light silver steel,exact R730 side photo and Dell dimension diagram,verified,35,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,top-cover catch tabs,5,1,5,spaced along top edge,small,upper edge,separate folded/latch relief,galvanized silver,exact R730 side photo,verified,36,PASS_EXACT,left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5|top cover latch,left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5|top cover latch,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,long stamped channel,1,1,1,rear to front,long narrow,upper-middle side,shallow recessed stiffening channel,galvanized silver,exact R730 side photo,verified,37,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,regulatory labels,3,1,3,small white DP/N label then two black regulatory labels,medium to small,rear half lower side,flush labels,black/white factory print,exact R730 side photo,verified,38,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
left,side fasteners and dimples,14,1,14,irregular evidence-matched pattern,tiny,across lower and upper side,small raised/recessed relief,silver,exact R730 side photo,verified,39,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/left/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
right,side shell,1,1,1,front to rear,684 mm body depth,full body side,closed opaque sheet shell,galvanized light silver steel,multiple exact 16SFF angles and Dell dimension diagram,verified-by-multi-reference,40,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/right/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
right,top-cover seam and folded lip,1,1,1,front to rear,long,upper edge,separate folded relief,galvanized silver,multiple exact 16SFF top/front/rear angles,verified-by-multi-reference,41,PASS_EXACT,left folded top lip|right folded top lip|left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5,left folded top lip|right folded top lip|left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5,qa/rotation-review-20260827/matched-camera/three-standard/right/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
right,stamped channel and fasteners,1,1,1,independent non-mirrored layout,long/irregular,side body,shallow relief only where adjacent views prove it,galvanized silver,exact top/side/rear angles and direct opposite-side construction reference,verified-by-multi-reference,42,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/right/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
right,regulatory labels,0,0,0,none,none,none,none,none,no right-side label evidence; do not mirror left labels,verified-by-exclusion,43,PASS_EXACT,EXPECTED_ABSENT,EXPECTED_ABSENT,qa/rotation-review-20260827/matched-camera/three-standard/right/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,removable top cover,1,1,1,front label band then main cover,444 by 684 mm body plan,body top,raised/folded cover above side lips,brushed galvanized silver,exact 16SFF front/top and rear/top photos,verified,44,PASS_EXACT,left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5|top cover latch,left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5|top cover latch,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,cover latch,1,1,1,none,small rectangular,centered laterally and aft of cover midpoint,recessed black latch,black plastic in silver recess,exact 16SFF top photos,verified,45,PASS_EXACT,top cover latch|left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5,top cover latch|left top-cover catch tab 1|left top-cover catch tab 2|left top-cover catch tab 3|left top-cover catch tab 4|left top-cover catch tab 5|right top-cover catch tab 1|right top-cover catch tab 2|right top-cover catch tab 3|right top-cover catch tab 4|right top-cover catch tab 5,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,stiffening ribs,2,2,1,front rib then rear/main rib,long transverse,across main cover,shallow raised stamp,galvanized silver,exact 16SFF top photos,verified,46,PASS_EXACT,top forward stiffening rib|top rear stiffening rib,top forward stiffening rib|top rear stiffening rib,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,front service label band,1,1,1,black label/white-orange instructions/black label,wide,front top fixed band,flush printed labels,white black orange factory print,exact 16SFF top photos,verified,47,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
top,front ventilation slots,2,1,2,left and right groups,long narrow,along front top edge,recessed opaque vent slots,black voids in silver strip,exact 16SFF top photos,verified,48,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/top/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
bottom,controlled generic sheet bottom,1,1,1,none,444 by 684 mm body plan,entire underside,closed flat conservative sheet,galvanized silver,Dell dimensions plus exact side material evidence,bottom-fallback,49,PASS_BOTTOM_FALLBACK,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/bottom/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Bottom-only conservative fallback
bottom,unsupported identity features,0,0,0,none,none,none,no logos labels vents feet rails holes ports seams or invented fasteners,none,documented bottom search exhaustion,bottom-fallback,50,PASS_BOTTOM_FALLBACK,EXPECTED_ABSENT,EXPECTED_ABSENT,qa/rotation-review-20260827/matched-camera/three-standard/bottom/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Bottom-only conservative fallback
